nxkHKPIkbeE,No Need,https://s320.djpunjab.is/data/320/44582/290643/No Need (Original) - Karan Aujla.mp3,https://lh3.googleusercontent.com/CoPyCSXL9GQaZMhc0nQEZLgV7LzFXi-vpEQMAbDAE1hNB-WaBfl2YsBdoELiz37IrQBtd3eD9Kt19ea5DA=w544-h544-l90-rj
OdzSpJ5UsmA,Hint,https://s320.djpunjab.is/data/320/46831/293833/Hint - Karan Aujla.mp3,https://lh3.googleusercontent.com/B2cT3_0zt5LuLNLmVPw4amvfAyB6jFAorWXTGyxF9InNl93mb_Vv_eOJZ2Mya7I8503qjfDi6ASfI96s=w544-h544-l90-rj
RhNuhze7bG0,Let 'em Play,https://s320.djpunjab.is/data/320/48290/295684/Let Em Play - Karan Aujla.mp3,https://lh3.googleusercontent.com/B6LiYGZ57agzCYIm0-qx5Qvdtt5c45nXFRZIvZjhBIkVgov-aDDSggXl0gvBxkUyii_s2huDrpKcwD46zw=w544-h544-l90-rj
nVtHV9aW6mc,Investigate Karan aujla (feat. Nagra Music),https://s320.djpunjab.is/data/320/53116/301246/Investigate - Karan Aujla.mp3,https://lh3.googleusercontent.com/3Azxy5CEYGPT3pzF-HtHIOstriDr59cFK2JPJtf-wE9GWw3bhB2qwqrzF4JKd0wLZtkm4weXp7CxiD4=w544-h544-l90-rj
Cb0IbWbFUh8,Kya Baat Aa,https://s320.djpunjab.is/data/320/48701/296175/Kya Baat Aa - Karan Aujla.mp3,https://lh3.googleusercontent.com/tijhMqk603qZerQZQY732K8iRu5fch-VOngUCjfcQfFNMuhJlHLHZ6hy-iaWu-NayKh1fpQqBcHUsZ9_JQ=w544-h544-l90-rj
J37S-PWvsVE,Don’t Worry,https://s320.djpunjab.is/data/320/43800/289565/Dont Worry - Karan Aujla.mp3,https://lh3.googleusercontent.com/VtBfb6Q1jpdhiPcjWBfUy-qjiiQnXa7boq0h2FtBOuE3a1L_fK8DNYcwSrP57Q3xHBwi0tk8Dvh08x0W=w544-h544-l90-rj
6bEGh_auS2g,Ink,https://s320.djpunjab.is/data/320/46665/293631/Ink - Karan Aujla.mp3,https://lh3.googleusercontent.com/mox5TOcBRUCmkwcorD-q4oZ24XTtjbOj2yxX4sppozb2Mc5nR8jDk0DC-lXb7j0LA_FurF5FhETZvei7=w544-h544-l90-rj
D6-WSZznJsc,7.7 Magnitude,https://p320.djpunjab.is/data/320/58033/308246/7.7 Magnitude - Karan Aujla.mp3,https://lh3.googleusercontent.com/BzOBERVwxHIkVDpePVN8mnT0MID3cySSHcZvY84FHusBL78dxkdpWBBk8o4O5e8BaenNlHKlI9fWb_Rccw=w544-h544-l90-rj
tIjUfo30r4M,Boyfriend,https://p320.djpunjab.is/data/320/58033/308243/Boyfriend - Karan Aujla.mp3,https://lh3.googleusercontent.com/BzOBERVwxHIkVDpePVN8mnT0MID3cySSHcZvY84FHusBL78dxkdpWBBk8o4O5e8BaenNlHKlI9fWb_Rccw=w544-h544-l90-rj
SR74hKXb0z4,Daytona,https://p320.djpunjab.is/data/320/58033/308254/Daytona - Karan Aujla.mp3,https://lh3.googleusercontent.com/BzOBERVwxHIkVDpePVN8mnT0MID3cySSHcZvY84FHusBL78dxkdpWBBk8o4O5e8BaenNlHKlI9fWb_Rccw=w544-h544-l90-rj
